House Vote #463 2022-09-29T15:40:00 - S. 3470: End Human Trafficking in Government Contracts Act of 2022
person,state,district,vote,name,party
412226,OH,4,Yea,Rep. Jim Jordan [R],Republican
412236,TN,9,Yea,Rep. Steve Cohen [D],Democrat
412239,VT,0,Yea,Rep. Peter Welch [D],Democrat
412250,FL,12,Yea,Rep. Gus Bilirakis [R],Republican
412255,VA,1,Yea,Rep. Robert Wittman [R],Republican
412256,OH,5,Yea,Rep. Robert Latta [R],Republican
412257,IL,11,Yea,Rep. Bill Foster [D],Democrat
412258,IN,7,Yea,Rep. André Carson [D],Democrat
412259,CA,14,Yea,Rep. Jackie Speier [D],Democrat
412261,LA,1,Yea,Rep. Steve Scalise [R],Republican
412272,VA,11,Yea,Rep. Gerald Connolly [D],Democrat
412278,KY,2,Yea,Rep. Brett Guthrie [R],Republican
412282,CT,4,Yea,Rep. James “Jim” Himes [D],Democrat
412286,AZ,2,Yea,Rep. Ann Kirkpatrick [D],Democrat
412292,MO,3,Yea,Rep. Blaine Luetkemeyer [R],Republican
412295,CA,4,Yea,Rep. Tom McClintock [R],Republican
412307,ME,1,Yea,Rep. Chellie Pingree [D],Democrat
412309,FL,8,Yea,Rep. Bill Posey [R],Republican
412315,OR,5,Yea,Rep. Kurt Schrader [D],Democrat
412317,PA,15,Yea,Rep. Glenn Thompson [R],Republican
412318,NV,1,Yea,Rep. Dina Titus [D],Democrat
412319,NY,20,Yea,Rep. Paul Tonko [D],Democrat
412331,IL,5,Yea,Rep. Mike Quigley [D],Democrat
412379,CA,27,Yea,Rep. Judy Chu [D],Democrat
412382,CA,3,Yea,Rep. John Garamendi [D],Democrat
412385,FL,22,Yea,Rep. Theodore “Ted” Deutch [D],Democrat
412395,AL,5,Yea,Rep. Mo Brooks [R],Republican
412396,AL,7,Yea,Rep. Terri Sewell [D],Democrat
412397,AZ,4,Yea,Rep. Paul Gosar [R],Republican
412399,AZ,6,Yea,Rep. David Schweikert [R],Republican
412400,AR,1,Yea,Rep. Eric “Rick” Crawford [R],Republican
412402,AR,3,Yea,Rep. Steve Womack [R],Republican
412404,CA,37,Yea,Rep. Karen Bass [D],Democrat
412410,FL,11,Yea,Rep. Daniel Webster [R],Republican
412412,FL,24,Yea,Rep. Frederica Wilson [D],Democrat
412417,GA,8,Yea,Rep. Austin Scott [R],Republican
412421,IL,16,Not Voting,Rep. Adam Kinzinger [R],Republican
412427,IN,8,Yea,Rep. Larry Bucshon [R],Republican
412434,MD,1,Yea,Rep. Andy Harris [R],Republican
412435,MA,9,Yea,Rep. William R. Keating [D],Democrat
412437,MI,2,Yea,Rep. Bill Huizenga [R],Republican
412443,MS,4,Yea,Rep. Steven Palazzo [R],Republican
412444,MO,4,Yea,Rep. Vicky Hartzler [R],Republican
412445,MO,7,Yea,Rep. Billy Long [R],Republican
412460,OH,6,Yea,Rep. Bill Johnson [R],Republican
412463,OH,7,Yea,Rep. Bob Gibbs [R],Republican
412465,PA,16,Yea,Rep. Mike Kelly [R],Republican
412470,RI,1,Yea,Rep. David Cicilline [D],Democrat
412472,SC,3,Yea,Rep. Jeff Duncan [R],Republican
